id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,876,881,MethodCallMutator,escape,esc,2,7.5150054E-4,"<mask>(string, out.encoder(), out.<mask>Mode())","String escape(String string, Document.OutputSettings out) {
        return<mask>(string, out.encoder(), out.escapeMode());
    }"
1,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,876,881,MethodCallMutator,escape,escaped,3,4.509315E-4,"<mask>(string, out.encoder(), out.<mask>Mode())","String escape(String string, Document.OutputSettings out) {
        return<mask>(string, out.encoder(), out.escapeMode());
    }"
2,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,876,881,MethodCallMutator,escape,encode,4,3.6366712E-4,"<mask>(string, out.encoder(), out.<mask>Mode())","String escape(String string, Document.OutputSettings out) {
        return<mask>(string, out.encoder(), out.escapeMode());
    }"
3,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,883,888,IdentifierMutator-Variable,string,String,1,0.0011601249,<mask>,"String escape(String string, Document.OutputSettings out) {
        return escape(<mask>, out.encoder(), out.escapeMode());
    }"
4,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,883,888,IdentifierMutator-Variable,string,str,3,1.20668126E-4,<mask>,"String escape(String string, Document.OutputSettings out) {
        return escape(<mask>, out.encoder(), out.escapeMode());
    }"
5,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,883,888,IdentifierMutator-Variable,string,text,4,1.120011E-4,<mask>,"String escape(String string, Document.OutputSettings out) {
        return escape(<mask>, out.encoder(), out.escapeMode());
    }"
6,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,895,901,MethodCallMutator,encoder,writer,0,0.23446456,out.<mask>(),"String escape(String string, Document.OutputSettings out) {
        return escape(string, out.<mask>(), out.escapeMode());
    }"
7,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,895,901,MethodCallMutator,encoder,escape,1,0.17762567,out.<mask>(),"String escape(String string, Document.OutputSettings out) {
        return escape(string, out.<mask>(), out.escapeMode());
    }"
8,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,895,901,MethodCallMutator,encoder,output,2,0.13336042,out.<mask>(),"String escape(String string, Document.OutputSettings out) {
        return escape(string, out.<mask>(), out.escapeMode());
    }"
9,Entities.java,escape,"String escape(String string, Document.OutputSettings out)",26,27,895,901,MethodCallMutator,encoder,settings,3,0.053573,out.<mask>(),"String escape(String string, Document.OutputSettings out) {
        return escape(string, out.<mask>(), out.escapeMode());
    }"
